4713,It 's rare for any movie to be as subtle and touching as The Son 's Room .,3,positive
4715,The movie 's seams may show ... but Pellington gives `` Mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling .,3,positive
4720,"Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .",3,positive
4722,"` Possession , ' based on the book by A.S. Byatt , demands that LaBute deal with the subject of love head-on ; trading in his cynicism for reverence and a little wit",3,positive
4723,"Terrific as Nadia , a Russian mail-order bride who comes to America speaking not a word of English , it 's Kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers .",3,positive
4725,Probes in a light-hearted way the romantic problems of individuals for whom the yearning for passion spells discontent .,3,positive
4728,"Director Alfonso Cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of French New Wave films .",3,positive
4731,"waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot Oscar season currently underway .",3,positive
4732,It 's a funny little movie with clever dialogue and likeable characters .,4,positive
4736,"Holm does his sly , intricate magic , and Iben Hjelje is entirely appealing as Pumpkin .",3,positive
4737,"Even with all its botches , Enigma offers all the pleasure of a handsome and well-made entertainment .",3,positive
4739,It gives devastating testimony to both people 's capacity for evil and their heroic capacity for good .,3,positive
4740,A damn fine and a truly distinctive and a deeply pertinent film .,4,positive
4742,Meyjes ' provocative film might be called an example of the haphazardness of evil .,3,positive
4744,This gorgeous epic is guaranteed to lift the spirits of the whole family .,4,positive
4745,"Land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .",3,positive
4747,A tone poem of transgression .,3,positive
4751,One of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .,4,positive
4753,"Sometimes charming , sometimes infuriating , this Argentinean ` dramedy ' succeeds mainly on the shoulders of its actors .",3,positive
4755,Featherweight romantic comedy has a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock .,3,positive
4757,Able to provide insight into a fascinating part of theater history .,3,positive
4760,It reaffirms life as it looks in the face of death .,3,positive
4763,"An emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .",4,positive
4765,"With We Were Soldiers , Hollywood makes a valiant attempt to tell a story about the Vietnam War before the pathology set in .",3,positive
4766,"Shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes .",3,positive
4769,A beautifully tooled action thriller about love and terrorism in Korea .,4,positive
4770,An escapist confection that 's pure entertainment .,4,positive
4771,"One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",3,positive
4777,"The structure is simple , but in its own way , Rabbit-Proof Fence is a quest story as grand as The Lord of the Rings .",3,positive
4779,"You feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did .",4,positive
4780,Takashi Miike keeps pushing the envelope : Ichi the Killer,3,positive
4785,Boasts enough funny dialogue and sharp characterizations to be mildly amusing .,3,positive
4789,An impressive hybrid .,4,positive
4794,Ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of Chinese ` cultural revolution . ',3,positive
4797,A surprisingly funny movie .,4,positive
4799,Cletis is playful but highly studied and dependent for its success on a patient viewer .,3,positive
4800,"Rife with the rueful , wry humor springing out of Yiddish culture and language .",3,positive
4801,Two Weeks Notice has appeal beyond being a Sandra Bullock vehicle or a standard romantic comedy .,3,positive
4806,Michael Moore 's latest documentary about America 's thirst for violence is his best film yet ...,4,positive
4807,One of the best rock documentaries ever .,4,positive
4811,"With Dickens ' words and writer-director Douglas McGrath 's even-toned direction , a ripping good yarn is told .",4,positive
4816,"-LRB- Russell -RRB- makes good B movies -LRB- The Mask , The Blob -RRB- , and The Scorpion King more than ably meets those standards .",3,positive
4818,Fans of the modern day Hong Kong action film finally have the worthy successor to A Better Tomorrow and The Killer which they have been patiently waiting for .,3,positive
4826,"A big-budget\/all-star movie as unblinkingly pure as The Hours is a distinct rarity , and an event .",3,positive
4827,"A huge box-office hit in Korea , Shiri is a must for genre fans .",3,positive
4830,"A wonderful , ghastly film .",3,positive
4831,"As improbable as this premise may seem , Abbass 's understated , shining performance offers us the sense that on some elemental level , Lilia deeply wants to break free of her old life .",4,positive
4833,"A timely look back at civil disobedience , anti-war movements and the power of strong voices .",3,positive
4834,It 's stylishly directed with verve ...,3,positive
4835,"I had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was Earnest .",4,positive
4836,Demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,3,positive
4837,"It is a strength of a documentary to disregard available bias , especially as temptingly easy as it would have been with this premise .",3,positive
4840,"A pretty decent kid-pleasing , tolerable-to-adults lark of a movie .",3,positive
4841,"A tightly directed , highly professional film that 's old-fashioned in all the best possible ways .",3,positive
4842,"You 're not merely watching history , you 're engulfed by it .",4,positive
4843,"White Oleander may leave you rolling your eyes in the dark , but that does n't mean you wo n't like looking at it .",3,positive
4861,What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice .,3,positive
4862,"Not quite as miraculous as its DreamWorks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions .",3,positive
4864,A tour de force drama about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers .,3,positive
4869,"Amy and Matthew have a bit of a phony relationship , but the film works in spite of it .",3,positive
4872,A thoroughly entertaining comedy that uses Grant 's own twist of acidity to prevent itself from succumbing to its own bathos .,4,positive
4873,"Spielberg 's picture is smarter and subtler than -LRB- Total Recall and Blade Runner -RRB- , although its plot may prove too convoluted for fun-seeking summer audiences .",3,positive
4874,Chamber of Secrets will find millions of eager fans .,4,positive
4878,"If you 've the patience , there are great rewards here .",3,positive
4879,Among the many pleasures are the lively intelligence of the artists and their perceptiveness about their own situations .,3,positive
4880,"The film reminds me of a vastly improved Germanic version of My Big Fat Greek Wedding -- with better characters , some genuine quirkiness and at least a measure of style .",3,positive
4882,"Diaz , Applegate , Blair and Posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused .",3,positive
4884,"It all plays out ... like a high-end John Hughes comedy , a kind of Elder Bueller 's Time Out .",3,positive
4887,"Simple , poignant and leavened with humor , it 's a film that affirms the nourishing aspects of love and companionship .",3,positive
4889,This seductive tease of a thriller gets the job done .,3,positive
